Key,en,hi,ar,es,fr
Banned Announcements,Banned Announcements,प्रतिबंधित घोषणाएँ,اعلانات محظورة,Anuncios prohibidos,Annonces interdites
Total Subscribers,Total Subscribers,कुल सदस्य,إجمالي المشتركين,Suscriptores totales,Nombre total d'abonnés
This Month,This Month,इस महीने,هذا الشهر,este mes,Ce mois-ci
This Year,This Year,इस साल,هذا العام,este año,Cette année
Total Messages,Total Messages,कुल संदेश,إجمالي الرسائل,Mensajes totales,Total des messages
Replied,Replied,उत्तर दिया,أجاب,Respondió,A répondu
Replied Messages,Replied Messages,उत्तर दिए गए संदेश,تم الرد على الرسائل,Mensajes respondidos,Messages répondus
Unanswered Messages,Unanswered Messages,अनुत्तरित संदेश,رسائل لم يتم الرد عليها,Mensajes sin respuesta,Messages sans réponse
Total Areas,Total Areas,कुल क्षेत्रफल,إجمالي المساحات,Áreas Totales,Superficies totales
Active Areas,Active Areas,सक्रिय क्षेत्र,المناطق النشطة,Áreas Activas,Zones actives
Banned Areas,Banned Areas,प्रतिबंधित क्षेत्र,المناطق المحظورة,Áreas prohibidas,Zones interdites
Total Car Types,Total Car Types,कुल कार प्रकार,إجمالي أنواع السيارات,Tipos totales de automóviles,Types de voitures totaux
Active Car Types,Active Car Types,सक्रिय कार के प्रकार,أنواع السيارات النشطة,Tipos de autos activos,Types de voitures actives
Banned Car Types,Banned Car Types,प्रतिबंधित कारों के प्रकार,أنواع السيارات المحظورة,Tipos de automóviles prohibidos,Types de voitures interdites
Total Cars,Total Cars,कुल कारें,مجموع السيارات,Coches totales,Total des voitures
Active Cars,Active Cars,सक्रिय कारें,السيارات النشطة,Coches activos,Voitures actives
Banned Cars,Banned Cars,प्रतिबंधित कारें,السيارات المحظورة,Coches prohibidos,Voitures interdites
Instructions,Instructions,निर्देश,تعليمات,Instrucciones,Instructions
Languages,Languages,बोली,اللغات,Idiomas,Langues
Language Keywords of English,Language Keywords of English,अंग्रेजी के भाषाई कीवर्ड,الكلمات الرئيسية للغة الإنجليزية,Palabras clave del idioma inglés,Mots-clés de langue anglais
Password Change,Password Change,पासवर्ड बदलें,تغيير كلمة المرور,Cambio de contraseña,Changement de mot de passe
Save & Change,Save & Change,परिवर्तन को संग्रहित करें,حفظ وتغيير,Guardar y cambiar,Enregistrer et modifier
State,State,राज्य,ولاية,Estado,État
City,City,शहर,مدينة,Ciudad,Ville
Push Notification,Push Notification,सर्वर पुश नोटीफिकेशन,دفع الإخطار,Notificación push,Notification poussée
Browser Push Notification Configuration,Browser Push Notification Configuration,ब्राउज़र पुश अधिसूचना कॉन्फ़िगरेशन,تكوين إشعارات المتصفح,Configuración de notificaciones push del navegador,Configuration des notifications push du navigateur
Method,Method,तरीका,طريقة,Método,Méthode
Send Notification,Send Notification,अधिसूचना भेजें,إرسال الإخطار,Enviar notificación,Envoyer une notification
Latest Notifications,Latest Notifications,नवीनतम सूचनाएं,أحدث الإخطارات,Últimas notificaciones,Dernières notifications
Server Info,Server Info,सर्वर जानकारी,معلومات الخادم,Información del servidor,Informations sur le serveur
Version,Version,संस्करण,إصدار,Versión,Version
App Name,App Name,ऐप का नाम,اسم التطبيق,Nombre de la aplicación,Nom de l'application
App Environment,App Environment,ऐप पर्यावरण,بيئة التطبيق,Entorno de aplicación,Environnement de l'application
App Debug,App Debug,ऐप डीबग,تصحيح أخطاء التطبيق,Depuración de aplicaciones,Débogage de l'application
App Mode,App Mode,ऐप मोड,وضع التطبيق,Modo de aplicación,Mode application
Database Connection,Database Connection,डेटाबेस कनेक्शन,اتصال قاعدة البيانات,Conexión de base de datos,Connexion à la base de données
Database Host,Database Host,डेटाबेस होस्ट,مضيف قاعدة البيانات,Host de base de datos,Hôte de base de données
Database Port,Database Port,डेटाबेस पोर्ट,منفذ قاعدة البيانات,Puerto de base de datos,Port de base de données
Database Name,Database Name,डेटाबेस का नाम,اسم قاعدة البيانات,Nombre de la base de datos,Nom de la base de données
Database Username,Database Username,डेटाबेस उपयोगकर्ता नाम,اسم مستخدم قاعدة البيانات,Nombre de usuario de la base de datos,Nom d'utilisateur de la base de données
PHP Version,PHP Version,पीएचपी संस्करण,نسخة PHP,Versión PHP,Version PHP
Laravel Version,Laravel Version,लारवेल संस्करण,نسخة لارافيل,Versión Laravel,Version Laravel
Server Software,Server Software,सर्वर सॉफ्टवेयर,برامج الخادم,Software de servidor,Logiciel serveur
Server IP Address,Server IP Address,सर्वर आईपी पता,عنوان IP للخادم,Dirección IP del servidor,Adresse IP du serveur
Server Protocol,Server Protocol,सर्वर प्रोटोकॉल,بروتوكول الخادم,Protocolo de servidor,Protocole de serveur
Timezone,Timezone,समयक्षेत्र,المنطقة الزمنية,Zona horaria,Fuseau horaire
Setup Email,Setup Email,सेटअप ईमेल,إعداد البريد الإلكتروني,Configurar correo electrónico,E-mail de configuration
Email Method,Email Method,ईमेल विधि,طريقة البريد الإلكتروني,Método de correo electrónico,Méthode de courrier électronique
Email Send Method,Email Send Method,ईमेल भेजने की विधि,طريقة إرسال البريد الإلكتروني,Método de envío de correo electrónico,Méthode d'envoi d'e-mail
Setup Pages,Setup Pages,पेज सेटअप करें,صفحات الإعداد,Páginas de configuración,Pages de configuration
Announcement Category,Announcement Category,घोषणा श्रेणी,فئة الإعلان,Categoría de anuncio,Catégorie d'annonce
Setup Announcement Section,Setup Announcement Section,सेटअप घोषणा अनुभाग,قسم إعلان الإعداد,Sección de anuncio de configuración,Section Annonce de configuration
Brand Section,Brand Section,ब्रांड अनुभाग,قسم العلامات التجارية,Sección de Marca,Section Marque
Edit Brand,Edit Brand,ब्रांड संपादित करें,تحرير العلامة التجارية,Editar marca,Modifier la marque
Edit FAQ Item,Edit FAQ Item,अक्सर पूछे जाने वाले प्रश्न आइटम संपादित करें,تحرير عنصر الأسئلة الشائعة,Editar artículo de preguntas frecuentes,Modifier un élément de FAQ
Icon,Icon,आइकन,رمز,Icono,Icône
Link,Link,जोड़ना,وصلة,Enlace,Lien
Edit Social Icon,Edit Social Icon,सामाजिक चिह्न संपादित करें,تحرير أيقونة الاجتماعية,Editar icono social,Modifier l'icône sociale
Edit Gallery Item,Edit Gallery Item,गैलरी आइटम संपादित करें,تحرير عنصر المعرض,Editar elemento de la galería,Modifier l'élément de la galerie
Edit How We Do,Edit How We Do,हम कैसे करते हैं संपादित करें,تحرير كيف نفعل,Editar cómo lo hacemos,Modifier notre façon de faire
